views,mature,life_time,created_at,updated_at,numeric_id,dead_account,language,affiliate
7048,0,1990,2013-05-01,2018-10-12,495,0,EN,1
56645,1,1774,2013-11-30,2018-10-09,1679,0,EN,1
3306,1,2591,2011-09-07,2018-10-11,1966,0,EN,0
2496926,0,1911,2013-07-19,2018-10-12,3181,0,EN,0
278129,0,1748,2013-12-29,2018-10-12,3635,0,EN,0
12056,1,887,2016-04-25,2018-09-29,10372,0,EN,1
57349,0,949,2016-03-07,2018-10-12,10408,0,EN,1
4173928,1,2682,2011-06-09,2018-10-12,16783,0,EN,0
1708,1,1675,2014-03-11,2018-10-11,30061,0,EN,0
286483,0,1696,2014-02-19,2018-10-12,30520,0,EN,0
1129,0,2302,2012-06-19,2018-10-08,36837,0,EN,0
1604600,1,3474,2009-04-08,2018-10-12,40675,0,EN,0
6215,1,1822,2013-10-15,2018-10-11,44326,0,EN,1
165414,1,1731,2014-01-15,2018-10-12,48850,0,EN,1
2472,1,1298,2013-10-05,2017-04-25,54013,1,OTHER,0
264524,1,2813,2011-01-23,2018-10-06,54230,0,EN,1
72048,0,2104,2013-01-07,2018-10-12,58736,0,EN,1
8208846,1,2505,2011-12-03,2018-10-12,59892,0,EN,0
1351,1,1871,2013-08-28,2018-10-12,62841,0,EN,1
487264,0,316,2017-11-30,2018-10-12,63150,0,EN,0
2715654,0,3823,2008-04-24,2018-10-12,66893,0,EN,0
4523991,0,2501,2011-12-07,2018-10-12,75403,0,EN,0
12402139,1,3668,2008-09-26,2018-10-12,78899,0,EN,0
15019409,0,2450,2012-01-27,2018-10-12,80986,0,EN,0
807,0,1299,2015-03-23,2018-10-12,87129,0,EN,0
84789,1,3877,2008-02-29,2018-10-11,87516,0,EN,1
35163,1,2455,2012-01-22,2018-10-12,89631,0,EN,1
108644,0,3555,2009-01-15,2018-10-10,90148,0,EN,0
4829628,0,4005,2007-10-25,2018-10-12,90697,0,EN,1
197145,1,2141,2012-11-25,2018-10-06,95697,0,EN,0
8937266,1,1894,2013-08-05,2018-10-12,95914,0,EN,0
282,0,2086,2012-12-27,2018-09-13,98343,0,EN,0
8926,0,3166,2010-02-10,2018-10-12,105041,0,EN,1
1445,1,2437,2012-01-27,2018-09-29,106969,0,EN,0
103871823,0,2974,2010-08-21,2018-10-12,113417,0,EN,0
23934820,0,3170,2010-02-06,2018-10-12,116648,0,EN,0
755148,0,1276,2015-04-14,2018-10-11,122269,0,EN,0
43385,1,2350,2012-05-06,2018-10-12,123861,0,EN,1
22083762,0,2952,2010-09-12,2018-10-12,124827,0,EN,0
3528066,0,4061,2007-08-30,2018-10-12,125430,0,EN,0
13949,1,2408,2012-03-09,2018-10-12,140703,0,EN,1
42340657,0,3894,2008-02-13,2018-10-12,141493,0,EN,0
89506813,0,2784,2011-02-27,2018-10-12,143081,0,EN,0
64698,1,757,2016-09-15,2018-10-12,145281,0,EN,1
13933,0,1203,2015-06-27,2018-10-12,151230,0,EN,1
36301,1,1549,2014-07-16,2018-10-12,151401,0,EN,0
18896216,0,1080,2015-10-28,2018-10-12,155127,0,EN,0
1197884,1,4002,2007-10-28,2018-10-12,157118,0,EN,0
8535,1,1434,2014-11-08,2018-10-12,157585,0,EN,0
2677249,0,2362,2012-04-24,2018-10-12,159097,0,EN,0
